day,eth_inflow,eth_outflow,netflow_eth,sample_block_number,block_tx_count,block_gas_used_ratio,block_base_fee_gwei,price_usd,daily_return,rolling_vol_7d,next_day_return,fee_spike
2025-11-11,216521.58561087569,341853.0614174329,-125331.47580655722,23775553,229,0.7189004222222222,0.104599051,3417.76,-0.04206735148618912,0.03779722951536302,-0.0008309536070408852,False
2025-11-12,589057.625756634,611313.9068635111,-22256.281106877024,23782708,78,0.13487315555555557,0.085546286,3414.92,-0.0008309536070408852,0.034394310635239525,-0.05369964742951516,False
2025-11-13,934615.38169455,835677.07535437,98938.30634017999,23789845,246,0.4082386486886636,0.075539081,3231.54,-0.05369964742951516,0.03851895881472196,-0.036867871046002754,False
2025-11-14,970659.0097709546,1003620.901308377,-32961.89153742243,23796987,174,0.25936119041686706,0.52886772,3112.4,-0.036867871046002754,0.03587466663222997,0.017825472304330958,True
2025-11-15,411741.04140881303,363110.3360113054,48630.70539750764,23804153,172,0.3436869457128296,0.072943333,3167.88,0.017825472304330958,0.037814006577309676,-0.022914378069876395,False
2025-11-16,455216.0190555195,361372.124596664,93843.8944588555,23811307,199,0.37522858775991225,0.0841745,3095.29,-0.022914378069876395,0.025682004041657675,-0.020628115620830334,False
2025-11-17,674747.6773760831,648145.6929409163,26601.984435166814,23818454,187,0.2754381111111111,0.092062677,3031.44,-0.020628115620830334,0.02470390436088778,0.0304211859710235,False
2025-11-18,910873.4839981389,846999.3788355154,63874.10516262357,23825568,226,0.6586449992267756,0.180562358,3123.66,0.0304211859710235,0.029898901893926546,-0.03143107764609454,False
2025-11-19,724199.6143438236,729288.3449420106,-5088.730598186958,23832691,256,0.8068437333333334,0.142597376,3025.48,-0.03143107764609454,0.030163892178546904,-0.06321641524650645,False
2025-11-20,735119.4904381412,763548.6206925085,-28429.130254367366,23839812,155,0.3969465643795581,0.099771534,2834.22,-0.06321641524650645,0.03224891322754354,-0.02412303914304459,False
2025-11-21,850827.2427188783,894444.8448818671,-43617.60216298874,23846949,185,0.3611605591197787,1.21155094,2765.85,-0.02412303914304459,0.031361332270719744,0.001543829202595992,True
2025-11-22,209739.42566596737,279481.8693565721,-69742.44369060473,23854048,195,0.3628344147177117,0.072585696,2770.12,0.001543829202595992,0.02891752506366348,0.011566285937071319,False
2025-11-23,174794.47741386626,196637.40246694747,-21842.925053081213,23861150,137,0.28227826041574594,0.079214621,2802.16,0.011566285937071319,0.0309309539064284,0.05396551231906832,False
2025-11-24,572658.1460588791,567610.8106422802,5047.335416598944,23868281,225,0.999787031679154,0.080049829,2953.38,0.05396551231906832,0.03973953375015462,0.0020247987052124383,False
2025-11-25,482277.8440863784,600601.8202150903,-118323.97612871189,23875375,150,0.4586714993281022,0.087059019,2959.36,0.0020247987052124383,0.03711747542983806,0.02270761245674735,False
2025-11-26,471457.2519871629,501957.0429479076,-30499.790960744664,23882481,155,0.5644143267896097,0.056674068,3026.56,0.02270761245674735,0.03684100509805498,-0.003743524000845766,False
2025-11-27,293436.28319503204,334300.89947686566,-40864.616281833616,23889610,374,0.999754793881385,0.049977364,3015.23,-0.003743524000845766,0.024426884703241704,0.00527986256438151,False
2025-11-28,347974.25808453903,364976.5536292544,-17002.295544715365,23896734,258,0.7071303666666666,0.040637968,3031.15,0.00527986256438151,0.019855000747971332,-0.013852828134536477,False
2025-11-29,206013.993907686,244948.33137325704,-38934.337465571036,23903881,234,0.9911189042130243,0.040575694,2989.16,-0.013852828134536477,0.022104315507901196,0.0007025385058010425,False
2025-11-30,86695.18225936606,97320.86818073467,-10625.685921368611,23911038,181,0.3189784961636917,0.033488451,2991.26,0.0007025385058010425,0.02244772864485709,-0.06425051650475055,False
2025-12-01,721568.0974559473,848215.830946229,-126647.73349028174,23918193,261,0.45645135,0.03805912,2799.07,-0.06425051650475055,0.02741244091761967,0.07038051924389177,False
2025-12-02,633915.821028663,635170.8007065417,-1254.9796778787859,23925343,165,0.2798687611273374,0.048591729,2996.07,0.07038051924389177,0.04039201266449575,0.0641807434405739,False
2025-12-03,545210.3154981814,588644.3861951203,-43434.0706969389,23932481,238,0.6479621566447021,0.035595221,3188.36,0.0641807434405739,0.04644497073157624,-0.017281611863152135,False
2025-12-04,504257.0746132414,480260.5285984507,23996.546014790714,23939260,287,0.4632238,0.028239448,3133.26,-0.017281611863152135,0.04730805044128669,-0.035579556117270816,False
2025-12-05,525064.8423588842,417595.7431997609,107469.09915912326,23946315,134,0.9999083166666667,0.01957165,3021.78,-0.035579556117270816,0.04992498867287097,0.005387553031656722,False
2025-12-06,90868.36422480449,134598.46381532346,-43730.09959051896,23953401,219,0.8412197324920792,0.024173281,3038.06,0.005387553031656722,0.04952378715149812,0.007172340243444708,False
2025-12-07,156155.34977605156,162339.6105668338,-6184.260790782253,23960518,155,0.4926953513939172,0.208982873,3059.85,0.007172340243444708,0.049526236611897465,0.021017370132522917,True
2025-12-08,321108.48124249117,364235.68990978284,-43127.20866729168,23967647,207,0.9999516,0.303988041,3124.16,0.021017370132522917,0.03928725913111016,0.062058281266004434,True
2025-12-09,465867.45821113006,398070.19058808556,67797.26762304449,23974782,227,0.42495431666666666,0.254897213,3318.04,0.062058281266004434,0.037467664701712845,0.0018384347385804745,True
2025-12-10,570749.2783190048,594149.3805032069,-23400.102184202056,23981870,128,0.11828317903568675,0.167261281,3324.14,0.0018384347385804745,0.030705694601096952,-0.036445516735155614,False
2025-12-11,247334.56686182486,271194.26733039547,-23859.700468570605,23988998,354,0.3881937833333333,0.128290791,3202.99,-0.036445516735155614,0.03385869578416399,,False
