day,price_usd,daily_return,rolling_vol_7d
2017-08-17,302.0,,
2017-08-18,293.96,-0.026622516556291442,
2017-08-19,290.91,-0.01037556130085715,
2017-08-20,299.1,0.02815303702175931,
2017-08-21,323.29,0.08087596121698426,
2017-08-22,309.8,-0.04172724179529219,
2017-08-23,315.74,0.019173660426081263,
2017-08-24,323.42,0.02432381073034784,0.04097210003234384
2017-08-25,327.24,0.011811267083049914,0.037597843191948616
2017-08-26,330.79,0.010848307052927497,0.035932069208233434
2017-08-27,348.13,0.052419964327821145,0.03806242723774984
2017-08-28,346.0,-0.006118404044466175,0.02894884961944142
2017-08-29,374.7,0.08294797687861277,0.0300757496200649
2017-08-30,385.93,0.029970643181211676,0.029828567159881112
2017-08-31,384.79,-0.002953903557639914,0.032291167232394814
2017-09-01,388.46,0.009537669897866197,0.032463491365341116
2017-09-02,343.14,-0.11666580857745967,0.0631526731737858
2017-09-03,341.77,-0.003992539488255509,0.05990968989472943
2017-09-04,283.77,-0.1697047722152325,0.08768730015339483
2017-09-05,312.09,0.09979913310075061,0.09128338536192036
2017-09-06,335.0,0.0734083117049571,0.09671979151322403
2017-09-07,334.49,-0.0015223880597015071,0.096752977726531
2017-09-08,302.99,-0.09417321893031183,0.10014479737673994
2017-09-09,296.74,-0.020627743489884165,0.09265651746594733
2017-09-10,293.5,-0.010918649322639418,0.09253525865852694
2017-09-11,297.3,0.012947189097104017,0.0638175738190931
2017-09-12,293.96,-0.011234443323242638,0.04951459636989689
2017-09-13,276.91,-0.05800108858348063,0.037107254126560914
2017-09-14,215.21,-0.2228160774258785,0.08093876662853715
2017-09-15,253.0,0.17559592955717673,0.11696006116523648
2017-09-16,249.31,-0.014584980237154155,0.11697087218235287
2017-09-17,257.55,0.03305122137098393,0.11861059483718955
2017-09-18,294.57,0.14373907979033196,0.132689045977094
2017-09-19,284.0,-0.035882812234782846,0.13356337832047965
2017-09-20,282.0,-0.007042253521126751,0.1310485430981731
2017-09-21,257.0,-0.08865248226950351,0.09654095092158908
2017-09-22,264.0,0.027237354085603016,0.07237171935174086
2017-09-23,285.93,0.08306818181818176,0.0765253778277329
2017-09-24,282.0,-0.013744622809778617,0.07745946607199525
2017-09-25,294.42,0.04404255319148942,0.0562074304482324
2017-09-26,287.9,-0.022145234698729865,0.05491827193557587
2017-09-27,309.74,0.07585967349774236,0.06093739354418225
2017-09-28,302.44,-0.02356815393555889,0.045472241683199646
2017-09-29,292.22,-0.03379182647797896,0.05041763970811969
2017-09-30,304.36,0.04154404216001639,0.043074784142360274
2017-10-01,303.95,-0.001347088973584043,0.04219400239393707
2017-10-02,296.5,-0.02451061029774626,0.04133244780250951
2017-10-03,292.48,-0.013558178752107852,0.04062750478047331
2017-10-04,291.99,-0.0016753282275711046,0.024999455282224543
2017-10-05,294.81,0.009657864995376464,0.024732472787011857
2017-10-06,310.8,0.05423832298768705,0.028747900406105722
2017-10-07,311.01,0.0006756756756756133,0.024986593529061765
2017-10-08,311.07,0.00019291984180580535,0.024945044111016678
2017-10-09,297.19,-0.04462018195261519,0.029466675572355022
2017-10-10,298.64,0.004879033614859196,0.028796002297248824
2017-10-11,304.01,0.017981516206804216,0.02918178134520402
2017-10-12,303.99,-6.578730962791823e-05,0.02921802358394159
2017-10-13,337.96,0.11174709694397822,0.047694267490065834
2017-10-14,342.0,0.011954077405610164,0.04739931074247927
2017-10-15,337.96,-0.011812865497076053,0.04821687414585339
2017-10-16,335.19,-0.008196236240975208,0.042619674684117044
2017-10-17,315.19,-0.059667651182911174,0.0519174350899598
2017-10-18,309.7,-0.017418065293949736,0.052599158450785416
2017-10-19,308.66,-0.003358088472715459,0.0526540887447122
2017-10-20,304.51,-0.013445214799455818,0.02206292046100711
2017-10-21,298.94,-0.018291681718170194,0.018711269150755654
2017-10-22,293.79,-0.0172275372984545,0.018480716588457378
2017-10-23,281.09,-0.04322815616596909,0.019570800809688017
2017-10-24,297.38,0.05795296880002865,0.031415607885067386
2017-10-25,294.49,-0.00971820566278836,0.03115889344076275
2017-10-26,294.71,0.0007470542293455118,0.031272006801361496
2017-10-27,296.33,0.005496929184622079,0.03135727861685867
2017-10-28,291.87,-0.015050787972867963,0.03112497834216461
2017-10-29,305.0,0.04498578134100795,0.03502466488789119
2017-10-30,307.25,0.007377049180327777,0.027642908007490148
2017-10-31,304.9,-0.007648494711147369,0.019959968025113857
2017-11-01,287.01,-0.05867497540177102,0.030990975019221403
2017-11-02,283.12,-0.013553534720044502,0.03115430158326278
2017-11-03,304.08,0.07403221248940373,0.04345290782413615
2017-11-04,298.04,-0.019863193896342946,0.0438499517335804
2017-11-05,295.53,-0.008421688363978164,0.03996533472793146
2017-11-06,297.97,0.00825635299292804,0.04000775964117953
2017-11-07,291.78,-0.020773903413095485,0.04052805961251243
2017-11-08,303.02,0.03852217424086635,0.03565985905634761
2017-11-09,317.87,0.04900666622665173,0.03707725842355369
2017-11-10,293.5,-0.07666656180199449,0.04203274061415894
2017-11-11,310.02,0.05628620102214654,0.046899030973417286
2017-11-12,305.24,-0.015418360105799556,0.047345004709879346
2017-11-13,312.99,0.025389857161577822,0.04794420511068276
2017-11-14,335.61,0.07227067957442723,0.051395050248469465
2017-11-15,331.33,-0.012752897708649957,0.05218615938637366
2017-11-16,331.49,0.00048290224247726776,0.049938051621461255
2017-11-17,331.23,-0.000784337385743128,0.03461198702555759
2017-11-18,346.66,0.046583944691000134,0.03297534662855974
2017-11-19,354.15,0.021606184734321632,0.02981282228418072
2017-11-20,367.42,0.03746999858816902,0.030397267589857748
